t,x,y,z,vx,vy,vz,energy,h_mag
11129.1871104,-19405495.2277,16863807.6992,0,-3832.13412972,-185.71815059,0,-8144343.11734,68228325726.3
11264.9358126,-19921532.0618,16835006.1764,0,-3770.86456656,-238.22452225,0,-8144343.11734,68228325726.3
11407.2399876,-20453636.9739,16797335.0757,0,-3707.73631588,-290.815587659,0,-8144343.11734,68228325726.3
11558.4757973,-21009381.3837,16749289.1291,0,-3641.84163263,-344.135180702,0,-8144343.11734,68228325726.3
11718.0790284,-21585167.3595,16690052.3914,0,-3573.59253085,-397.721223006,0,-8144343.11734,68228325726.3
11886.9895584,-22182782.4362,16618280.6256,0,-3502.75546457,-451.636420366,0,-8144343.11734,68228325726.3
12065.3357577,-22800926.7614,16532872.5842,0,-3429.45463437,-505.66318394,0,-8144343.11734,68228325726.3
12253.6590315,-23439609.755,16432508.4677,0,-3353.64931132,-559.713030963,0,-8144343.11734,68228325726.4
12452.2794685,-24097913.64,16315933.1958,0,-3275.39748866,-613.628189261,0,-8144343.11734,68228325726.4
12661.6351786,-24775159.7878,16181795.3927,0,-3194.71593569,-667.284742416,0,-8144343.11734,68228325726.4
12882.107721,-25470315.0684,16028747.5637,0,-3111.64905311,-720.544229544,0,-8144343.11734,68228325726.5
13114.1155646,-26182294.7415,15855395.1748,0,-3026.23113849,-773.279627905,0,-8144343.11734,68228325726.5
13358.0646857,-26909798.4306,15660334.1439,0,-2938.50419572,-825.363601135,0,-8144343.11734,68228325726.6
13614.3725168,-27651380.4618,15442139.7336,0,-2848.50773868,-876.674899728,0,-8144343.11734,68228325726.6
13883.451552,-28405396.1195,15199385.5576,0,-2756.28346161,-927.095351067,0,-8144343.11734,68228325726.7
14165.7122921,-29170008.1376,14930648.8032,0,-2661.87269775,-976.511188599,0,-8144343.11734,68228325726.7
14461.5537315,-29943159.4342,14634527.3667,0,-2565.31806161,-1024.81197474,0,-8144343.11735,68228325726.8
14771.3573167,-30722559.7439,14309655.9881,0,-2466.66357958,-1071.89045246,0,-8144343.11735,68228325726.9
15095.4745864,-31505660.8292,13954730.9567,0,-2365.95654601,-1117.64164742,0,-8144343.11735,68228325727
